Condition,CodeType,DxCodeLocation,DxCode
CKD,ICD10DX,ANY,N01.6
CKD,ICD10DX,ANY,N01.7
CKD,ICD10DX,ANY,N01.8
CKD,ICD10DX,ANY,N01.9
CKD,ICD10DX,ANY,N01.A
CKD,ICD10DX,ANY,N02.0
CKD,ICD10DX,ANY,N02.1
CKD,ICD10DX,ANY,N02.2
CKD,ICD10DX,ANY,N02.3
CKD,ICD10DX,ANY,N02.4
CKD,ICD10DX,ANY,N02.5
CKD,ICD10DX,ANY,N02.6
CKD,ICD10DX,ANY,N02.7
CKD,ICD10DX,ANY,N02.8
CKD,ICD10DX,ANY,N02.9
CKD,ICD10DX,ANY,N02.A
CKD,ICD10DX,ANY,N03.0
CKD,ICD10DX,ANY,N03.1
CKD,ICD10DX,ANY,N03.2
CKD,ICD10DX,ANY,N03.3
CKD,ICD10DX,ANY,N03.4
CKD,ICD10DX,ANY,N03.5
CKD,ICD10DX,ANY,N03.6
CKD,ICD10DX,ANY,N03.7
CKD,ICD10DX,ANY,N03.8
CKD,ICD10DX,ANY,N03.9
CKD,ICD10DX,ANY,N03.A
CKD,ICD10DX,ANY,N04.0
CKD,ICD10DX,ANY,N04.1
CKD,ICD10DX,ANY,N04.2
CKD,ICD10DX,ANY,N04.3
CKD,ICD10DX,ANY,N04.4
CKD,ICD10DX,ANY,N04.5
CKD,ICD10DX,ANY,N04.6
CKD,ICD10DX,ANY,N04.7
CKD,ICD10DX,ANY,N04.8
CKD,ICD10DX,ANY,N04.9
CKD,ICD10DX,ANY,N04.A
CKD,ICD10DX,ANY,N05.0
CKD,ICD10DX,ANY,N05.1
CKD,ICD10DX,ANY,N05.2
CKD,ICD10DX,ANY,N05.3
CKD,ICD10DX,ANY,N05.4
CKD,ICD10DX,ANY,N05.5
CKD,ICD10DX,ANY,N05.6
CKD,ICD10DX,ANY,N05.7
CKD,ICD10DX,ANY,N05.8
CKD,ICD10DX,ANY,N05.9
CKD,ICD10DX,ANY,N05.A
CKD,ICD10DX,ANY,N06.0
CKD,ICD10DX,ANY,N06.1
CKD,ICD10DX,ANY,N06.2
CKD,ICD10DX,ANY,N06.3
CKD,ICD10DX,ANY,N06.4
CKD,ICD10DX,ANY,N06.5
CKD,ICD10DX,ANY,N06.6
CKD,ICD10DX,ANY,N06.7
CKD,ICD10DX,ANY,N06.8
CKD,ICD10DX,ANY,N06.9
CKD,ICD10DX,ANY,N06.A
CKD,ICD10DX,ANY,N07.0
CKD,ICD10DX,ANY,N07.1
CKD,ICD10DX,ANY,N07.2
CKD,ICD10DX,ANY,N07.3
CKD,ICD10DX,ANY,N07.4
CKD,ICD10DX,ANY,N07.5
CKD,ICD10DX,ANY,N07.6
CKD,ICD10DX,ANY,N07.7
CKD,ICD10DX,ANY,N07.8
CKD,ICD10DX,ANY,N07.9
CKD,ICD10DX,ANY,N07.A
CKD,ICD10DX,ANY,N08
CKD,ICD10DX,ANY,N14.0
CKD,ICD10DX,ANY,N14.1
CKD,ICD10DX,ANY,N14.2
CKD,ICD10DX,ANY,N14.3
CKD,ICD10DX,ANY,N14.4
CKD,ICD10DX,ANY,N15.0
CKD,ICD10DX,ANY,N15.8
CKD,ICD10DX,ANY,N15.9
CKD,ICD10DX,ANY,N16
CKD,ICD10DX,ANY,N18.1
CKD,ICD10DX,ANY,N18.2
CKD,ICD10DX,ANY,N18.3
CKD,ICD10DX,ANY,N18.30
CKD,ICD10DX,ANY,N18.31
CKD,ICD10DX,ANY,N18.32
CKD,ICD10DX,ANY,N18.4
CKD,ICD10DX,ANY,N18.5
CKD,ICD10DX,ANY,N18.6
CKD,ICD10DX,ANY,N18.9
CKD,ICD10DX,ANY,N25.1
CKD,ICD10DX,ANY,N25.89
CKD,ICD10DX,ANY,N25.9
CKD,ICD10DX,ANY,N26.1
CKD,ICD10DX,ANY,N26.9
CKD,ICD10DX,ANY,N99.0
CKD,ICD10DX,ANY,Q61.02
CKD,ICD10DX,ANY,Q61.11
CKD,ICD10DX,ANY,Q61.19
CKD,ICD10DX,ANY,Q61.2
CKD,ICD10DX,ANY,Q61.3
CKD,ICD10DX,ANY,Q61.4
CKD,ICD10DX,ANY,Q61.5
CKD,ICD10DX,ANY,Q61.8
CNCRBRST,ICD10DX,ANY,C50.011
CNCRBRST,ICD10DX,ANY,C50.012
CNCRBRST,ICD10DX,ANY,C50.019
CNCRBRST,ICD10DX,ANY,C50.021
CNCRBRST,ICD10DX,ANY,C50.022
CNCRBRST,ICD10DX,ANY,C50.029
CNCRBRST,ICD10DX,ANY,C50.111
CNCRBRST,ICD10DX,ANY,C50.112
CNCRBRST,ICD10DX,ANY,C50.119
CNCRBRST,ICD10DX,ANY,C50.121
CNCRBRST,ICD10DX,ANY,C50.122
CNCRBRST,ICD10DX,ANY,C50.129
CNCRBRST,ICD10DX,ANY,C50.211
CNCRBRST,ICD10DX,ANY,C50.212
CNCRBRST,ICD10DX,ANY,C50.219
CNCRBRST,ICD10DX,ANY,C50.221
CNCRBRST,ICD10DX,ANY,C50.222
CNCRBRST,ICD10DX,ANY,C50.229
CNCRBRST,ICD10DX,ANY,C50.311
CNCRBRST,ICD10DX,ANY,C50.312
CNCRBRST,ICD10DX,ANY,C50.319
CNCRBRST,ICD10DX,ANY,C50.321
CNCRBRST,ICD10DX,ANY,C50.322
CNCRBRST,ICD10DX,ANY,C50.329
CNCRBRST,ICD10DX,ANY,C50.411
CNCRBRST,ICD10DX,ANY,C50.412
CNCRBRST,ICD10DX,ANY,C50.419
CNCRBRST,ICD10DX,ANY,C50.421
CNCRBRST,ICD10DX,ANY,C50.422
CNCRBRST,ICD10DX,ANY,C50.429
CNCRBRST,ICD10DX,ANY,C50.511
CNCRBRST,ICD10DX,ANY,C50.512
CNCRBRST,ICD10DX,ANY,C50.519
CNCRBRST,ICD10DX,ANY,C50.521
CNCRBRST,ICD10DX,ANY,C50.522
CNCRBRST,ICD10DX,ANY,C50.529
CNCRBRST,ICD10DX,ANY,C50.611
CNCRBRST,ICD10DX,ANY,C50.612
CNCRBRST,ICD10DX,ANY,C50.619
CNCRBRST,ICD10DX,ANY,C50.621
CNCRBRST,ICD10DX,ANY,C50.622
CNCRBRST,ICD10DX,ANY,C50.629
CNCRBRST,ICD10DX,ANY,C50.811
CNCRBRST,ICD10DX,ANY,C50.812
CNCRBRST,ICD10DX,ANY,C50.819
CNCRBRST,ICD10DX,ANY,C50.821
CNCRBRST,ICD10DX,ANY,C50.822
CNCRBRST,ICD10DX,ANY,C50.829
CNCRBRST,ICD10DX,ANY,C50.911
CNCRBRST,ICD10DX,ANY,C50.912
CNCRBRST,ICD10DX,ANY,C50.919
CNCRBRST,ICD10DX,ANY,C50.921
CNCRBRST,ICD10DX,ANY,C50.922
CNCRBRST,ICD10DX,ANY,C50.929
CNCRBRST,ICD10DX,ANY,D05.00
CNCRBRST,ICD10DX,ANY,D05.01
CNCRBRST,ICD10DX,ANY,D05.02
CNCRBRST,ICD10DX,ANY,D05.10
CNCRBRST,ICD10DX,ANY,D05.11
CNCRBRST,ICD10DX,ANY,D05.12
CNCRBRST,ICD10DX,ANY,D05.80
CNCRBRST,ICD10DX,ANY,D05.81
CNCRBRST,ICD10DX,ANY,D05.82
CNCRBRST,ICD10DX,ANY,D05.90
CNCRBRST,ICD10DX,ANY,D05.91
CNCRBRST,ICD10DX,ANY,D05.92
CNCRBRST,ICD10DX,ANY,Z17.0
CNCRBRST,ICD10DX,ANY,Z17.1
CNCRBRST,ICD10DX,ANY,Z19.1
CNCRBRST,ICD10DX,ANY,Z19.2
CNCRBRST,ICD10DX,ANY,Z85.3
CNCRBRST,ICD10DX,ANY,Z86.000
CNCRCLR,ICD10DX,ANY,C18.0
CNCRCLR,ICD10DX,ANY,C18.1
CNCRCLR,ICD10DX,ANY,C18.2
CNCRCLR,ICD10DX,ANY,C18.3
CNCRCLR,ICD10DX,ANY,C18.4
CNCRCLR,ICD10DX,ANY,C18.5
CNCRCLR,ICD10DX,ANY,C18.6
CNCRCLR,ICD10DX,ANY,C18.7
CNCRCLR,ICD10DX,ANY,C18.8
CNCRCLR,ICD10DX,ANY,C18.9
CNCRCLR,ICD10DX,ANY,C19
CNCRCLR,ICD10DX,ANY,C20
CNCRCLR,ICD10DX,ANY,C49.A4
CNCRCLR,ICD10DX,ANY,C49.A5
CNCRCLR,ICD10DX,ANY,D01.0
CNCRCLR,ICD10DX,ANY,D01.1
CNCRCLR,ICD10DX,ANY,D01.2
CNCRCLR,ICD10DX,ANY,Z85.030
CNCRCLR,ICD10DX,ANY,Z85.038
CNCRCLR,ICD10DX,ANY,Z85.040
CNCRCLR,ICD10DX,ANY,Z85.048
CNCREND,ICD10DX,ANY,C54.0
CNCREND,ICD10DX,ANY,C54.1
CNCREND,ICD10DX,ANY,C54.2
CNCREND,ICD10DX,ANY,C54.3
CNCREND,ICD10DX,ANY,C54.8
CNCREND,ICD10DX,ANY,C54.9
CNCREND,ICD10DX,ANY,D07.0
CNCREND,ICD10DX,ANY,Z85.42
CNCRLNG,ICD10DX,ANY,C34.00
CNCRLNG,ICD10DX,ANY,C34.01
CNCRLNG,ICD10DX,ANY,C34.02
CNCRLNG,ICD10DX,ANY,C34.10
CNCRLNG,ICD10DX,ANY,C34.11
CNCRLNG,ICD10DX,ANY,C34.12
CNCRLNG,ICD10DX,ANY,C34.2
CNCRLNG,ICD10DX,ANY,C34.30
CNCRLNG,ICD10DX,ANY,C34.31
CNCRLNG,ICD10DX,ANY,C34.32
CNCRLNG,ICD10DX,ANY,C34.80
CNCRLNG,ICD10DX,ANY,C34.81
CNCRLNG,ICD10DX,ANY,C34.82
CNCRLNG,ICD10DX,ANY,C34.90
CNCRLNG,ICD10DX,ANY,C34.91
CNCRLNG,ICD10DX,ANY,C34.92
CNCRLNG,ICD10DX,ANY,D02.20
CNCRLNG,ICD10DX,ANY,D02.21
CNCRLNG,ICD10DX,ANY,D02.22
CNCRLNG,ICD10DX,ANY,Z85.110
CNCRLNG,ICD10DX,ANY,Z85.118
CNCRPRST,ICD10DX,ANY,C61
CNCRPRST,ICD10DX,ANY,D07.5
CNCRPRST,ICD10DX,ANY,Z85.46
CNCRURO,ICD10DX,ANY,C64.1
CNCRURO,ICD10DX,ANY,C64.2
CNCRURO,ICD10DX,ANY,C64.9
CNCRURO,ICD10DX,ANY,C65.1
CNCRURO,ICD10DX,ANY,C65.2
CNCRURO,ICD10DX,ANY,C65.9
CNCRURO,ICD10DX,ANY,C66.1
CNCRURO,ICD10DX,ANY,C66.2
CNCRURO,ICD10DX,ANY,C66.9
CNCRURO,ICD10DX,ANY,C68.8
CNCRURO,ICD10DX,ANY,C68.9
CNCRURO,ICD10DX,ANY,D09.10
CNCRURO,ICD10DX,ANY,D09.19
CNCRURO,ICD10DX,ANY,Z85.520
CNCRURO,ICD10DX,ANY,Z85.528
CNCRURO,ICD10DX,ANY,Z85.53
CNCRURO,ICD10DX,ANY,Z85.54
CNCRURO,ICD10DX,ANY,Z85.59
COPD,ICD10DX,ANY,J40
COPD,ICD10DX,ANY,J41.0
COPD,ICD10DX,ANY,J41.1
COPD,ICD10DX,ANY,J41.8
COPD,ICD10DX,ANY,J42
COPD,ICD10DX,ANY,J43.0
COPD,ICD10DX,ANY,J43.1
