Condition,CodeType,DxCodeLocation,DxCode,,,,,,
ANEMIA,ICD9DX,ANY,282.42,,,,,,
ANEMIA,ICD9DX,ANY,282.43,,,,,,
ANEMIA,ICD9DX,ANY,282.44,,,,,,
ANEMIA,ICD9DX,ANY,282.45,,,,,,
ANEMIA,ICD9DX,ANY,282.46,,,,,,
ANEMIA,ICD9DX,ANY,282.47,,,,,,
ANEMIA,ICD9DX,ANY,282.49,,,,,,
ANEMIA,ICD9DX,ANY,282.5,,,,,,
ANEMIA,ICD9DX,ANY,282.6,,,,,,
ANEMIA,ICD9DX,ANY,282.61,,,,,,
ANEMIA,ICD9DX,ANY,282.62,,,,,,
ANEMIA,ICD9DX,ANY,282.63,,,,,,
ANEMIA,ICD9DX,ANY,282.64,,,,,,
ANEMIA,ICD9DX,ANY,282.68,,,,,,
ANEMIA,ICD9DX,ANY,282.69,,,,,,
ANEMIA,ICD9DX,ANY,282.7,,,,,,
ANEMIA,ICD9DX,ANY,282.8,,,,,,
ANEMIA,ICD9DX,ANY,282.9,,,,,,
ANEMIA,ICD9DX,ANY,283,,,,,,
ANEMIA,ICD9DX,ANY,283.1,,,,,,
ANEMIA,ICD9DX,ANY,283.11,,,,,,
ANEMIA,ICD9DX,ANY,283.19,,,,,,
ANEMIA,ICD9DX,ANY,283.2,,,,,,
ANEMIA,ICD9DX,ANY,283.9,,,,,,
ANEMIA,ICD9DX,ANY,284.01,,,,,,
ANEMIA,ICD9DX,ANY,284.09,,,,,,
ANEMIA,ICD9DX,ANY,284.11,,,,,,
ANEMIA,ICD9DX,ANY,284.12,,,,,,
ANEMIA,ICD9DX,ANY,284.19,,,,,,
ANEMIA,ICD9DX,ANY,284.2,,,,,,
ANEMIA,ICD9DX,ANY,284.81,,,,,,
ANEMIA,ICD9DX,ANY,284.89,,,,,,
ANEMIA,ICD9DX,ANY,284.9,,,,,,
ANEMIA,ICD9DX,ANY,285,,,,,,
ANEMIA,ICD9DX,ANY,285.1,,,,,,
ANEMIA,ICD9DX,ANY,285.21,,,,,,
ANEMIA,ICD9DX,ANY,285.22,,,,,,
ANEMIA,ICD9DX,ANY,285.29,,,,,,
ANEMIA,ICD9DX,ANY,285.3,,,,,,
ANEMIA,ICD9DX,ANY,285.8,,,,,,
ANEMIA,ICD9DX,ANY,285.9,,,,,,
ASTHMA,ICD10DX,ANY,J45.20,,,,,,
ASTHMA,ICD10DX,ANY,J45.21,,,,,,
ASTHMA,ICD10DX,ANY,J45.22,,,,,,
ASTHMA,ICD10DX,ANY,J45.30,,,,,,
ASTHMA,ICD10DX,ANY,J45.31,,,,,,
ASTHMA,ICD10DX,ANY,J45.32,,,,,,
ASTHMA,ICD10DX,ANY,J45.40,,,,,,
ASTHMA,ICD10DX,ANY,J45.41,,,,,,
ASTHMA,ICD10DX,ANY,J45.42,,,,,,
ASTHMA,ICD10DX,ANY,J45.50,,,,,,
ASTHMA,ICD10DX,ANY,J45.51,,,,,,
ASTHMA,ICD10DX,ANY,J45.52,,,,,,
ASTHMA,ICD10DX,ANY,J45.901,,,,,,
ASTHMA,ICD10DX,ANY,J45.902,,,,,,
ASTHMA,ICD10DX,ANY,J45.909,,,,,,
